index,Marque,Modèle,Masse à vide,CO2,Carburant,Cylindrée moteur,Puissance moteur,Consommation carburant
2931,LAND ROVER,RANGE ROVER EVOQUE,1967.0,170,diesel,1998.0,120.0,6.5
2936,LAND ROVER,RANGE ROVER EVOQUE,1967.0,173,diesel,1998.0,120.0,6.6
2937,LAND ROVER,RANGE ROVER EVOQUE,1967.0,171,diesel,1998.0,120.0,6.5
2940,LAND ROVER,RANGE ROVER EVOQUE,1967.0,174,diesel,1998.0,120.0,6.6
2941,LAND ROVER,RANGE ROVER EVOQUE,1967.0,172,diesel,1998.0,120.0,6.6
2943,LAND ROVER,RANGE ROVER EVOQUE,1967.0,172,diesel,1998.0,120.0,6.5
2969,LAND ROVER,RANGE ROVER EVOQUE,1855.0,164,diesel,1998.0,120.0,6.3
2970,LAND ROVER,RANGE ROVER EVOQUE,1855.0,160,diesel,1998.0,120.0,6.1
2971,LAND ROVER,RANGE ROVER EVOQUE,1855.0,165,diesel,1998.0,120.0,6.3
2972,LAND ROVER,RANGE ROVER EVOQUE,1855.0,162,diesel,1998.0,120.0,6.2